SID,Donation
17334,80
17340,250
17802,80
17421,120
17279,80
18002,80
18006,80
18048,100
18061,80
18075,80
18076,200
18101,80
18102,80
18122,80
18136,80
18143,80
18146,80
18154,80
18161,80
18167,80
18183,35
18399,80
18462,40
18463,80
18197,80
18199,12
18200,80
18201,80
18206,115
18219,90
18226,80
18229,80
18234,80
18237,80
18240,80
18272,80
18275,80
18284,80
18316,80
18321,80
18328,80
18337,80
18435,80
18358,80
18363,80
18368,80
18372,80
18461,80
19011,120
19012,80
19030,80
19054,80
19073,80
19090,100
19121,80
19130,80
19430,20
19137,80
19139,80
19143,80
19144,120
19152,80
19451,120
19174,80
19444,45
19195,80
19200,80
19254,150
19255,120
19259,80
19280,7
19282,80
19280,7
19295,22
19298,6.5
19333,35
19337,106
19348,120
19363,150
19364,150
19371,10
19399,20
19400,120
19422,100
16050,85
16077,80
16459,120
16141,80
16148,80
16154,80
16160,80
16174,46
16427,80
16244,80
16274,80
16276,80
16412,80
16333,85
16462,80
16467,80
17013,15
17019,100
17025,80
17368,80
17438,120
17442,80
17033,500
17081,80
17093,80
17131,80
17149,80
17201,80
17215,80
17221,80
17234,80
17258,80
17375,80
17294,80
17462,10
17401,300
17331,80
17404,137
18013,100
18010,100
18011,80
18422,80
18378,80
18046,150
18072,80
18121,100
18458,120
18151,80
18153,100
18462,60
18428,100
18190,80
18196,80
18216,80
18402,80
18258,160
18269,80
18287,80
18305,80
18307,20
18317,80
18324,300
18346,155
18356,80
18365,80
19005,80
19007,80
19425,80
19062,80
19063,80
19076,32
19083,80
19084,80
19088,80
19094,37
19103,90
19131,100
19135,80
19142,90
19145,138
19153,80
19166,80
19175,80
19176,50
19178,80
19205,80
19244,80
19262,120
19264,120
19267,80
19277,40
19291,80
19294,80
19295,11
19337,15
19342,101
19351,20
19352,20
19354,100
19366,80
19377,10
19393,80
19395,100
19422,20
16003,80
16029,330
16482,80
16036,80
16042,100
16191,120
16444,80
16066,125
16396,80
16413,27
16494,80
16089,150
16092,120
16095,120
16122,80
16124,80
16138,80
16421,80
16144,30
16147,80
16159,80
16166,60
16167,80
16168,80
16174,17
16177,80
16207,80
16485,80
16215,80
16240,80
16249,80
16251,80
16400,80
16504,80
16267,80
16277,80
16283,80
16290,80
16292,80
16303,100
16304,80
16484,80
16326,80
16341,80
16357,80
16434,80
16503,80
16384,80
17003,120
17005,80
17007,80
17008,80
17013,65
17015,80
17016,80
17018,80
17021,80
17023,80
17043,250
17483,80
17056,80
17057,80
17070,80
17071,80
17072,120
17089,180
17372,80
17100,80
17104,80
17107,80
17113,50
17443,100
17126,80
17127,85
17140,80
17141,80
17183,80
17148,100
17163,80
17425,80
17451,80
17195,80
17196,250
17204,80
17369,80
17227,40
17228,40
17229,80
17234,40
17235,120
17244,80
17399,120
17469,80
17251,100
17269,80
17278,40
17284,80
17287,80
17289,80
17290,80
17291,80
17297,80
17420,80
17461,80
17462,12
17305,80
17460,80
17326,80
17335,80
17336,80
17421,30
17471,80
17349,80
17356,100
17357,85
17360,250
17363,80
17366,70
18012,80
18022,60
18385,100
18042,80
18378,80
18390,80
18391,80
18051,80
18054,80
18057,80
18060,80
18064,80
18073,80
18074,80
18475,80
18079,120
18081,120
18083,120
18090,80
18108,100
18128,80
18135,80
18138,80
18142,80
18454,80
18148,80
18183,50
18171,80
18194,80
18198,80
18204,80
18432,80
18211,100
18220,80
18222,80
18207,80
18225,80
18230,100
18235,80
18326,80
18396,80
18474,80
18254,100
18267,120
18277,80
18279,80
18280,80
18282,81
18283,80
18285,80
18286,80
18290,80
18292,125
18293,80
18294,80
18377,80
18448,80
18297,80
18299,150
18307,60
18437,100
18322,50
18326,50
18329,80
18340,80
18350,80
18361,80
18362,80
18371,120
18373,80
18420,80
19001,100
19016,60
19017,80
19019,80
19021,80
19027,80
19431,80
19032,80
19033,80
19037,150
19040,80
19041,80
19043,90
19044,108
19045,120
19046,80
19048,140
19405,80
19413,82
19414,80
19081,80
19087,80
19096,16
19101,80
19108,20
19123,80
19406,20
19133,120
19416,501
19141,83
19142,165
19149,40
19161,80
19164,120
19165,75
19170,80
19172,80
19176,40
19177,220
19410,120
19418,50
19182,80
19186,80
19188,80
19197,80
19201,80
19204,80
19411,120
19210,80
19211,80
19224,500
19239,80
19248,80
19260,80
19268,80
19270,80
19276,80
19279,80
19283,80
19288,80
19293,80
19299,25
19300,80
19305,80
19306,80
19310,163
19315,85
19457,83
19327,100
19328,20
19329,20
19330,20
19331,20
19332,20
19334,20
19337,4
19338,100
19340,20
19341,20
19343,20
19345,100
19346,120
19347,100
19350,20
19353,100
19355,20
19256,100.02
19412,100
19359,84
19380,80
19386,175
19388,120
19391,120
18134,80
16005,80
16012,80
16025,80
16031,80
16059,80
16060,80
16190,80
16435,80
16078,500
16080,80
16452,45
16094,120
16103,100
16132,80
16139,80
16142,80
16423,150
16488,80
16171,80
16208,80
16212,585
16218,100
16220,150
16224,85
16225,80
16473,40
16234,80
16239,80
16242,80
16248,80
16278,80
16279,80
16401,90
16416,80
16295,121.25
16308,80
16312,80
16335,150
16337,80
16340,120
16345,80
16349,120
16358,80
16365,80
16372,120
16450,80
17002,80
17004,120
17009,80
17012,80
17028,80
17168,80
17055,80
17066,80
17174,80
17410,200
17075,80
17076,500
17079,120
17179,80
17180,80
17090,80
17465,80
17098,50
17110,30
17113,30
17114,80
17117,80
17120,100
17121,50
17125,80
17137,80
17142,80
17412,80
17406,80
17479,80
17193,80
17218,80
17230,80
17240,80
17249,80
17254,80
17257,80
17376,80
17265,80
17271,80
17371,80
17477,80
17282,80
17288,80
17296,80
17300,80
17304,80
17309,80
17312,200
17405,80
17319,80
17323,80
17342,80
17470,80
17360,750
17484,70
18010,50
18013,50
18017,80
18022,50
18024,80
18029,50
18385,50
18032,80
18036,80
18037,80
18039,80
18442,80
18470,80
18059,100
18092,80
18366,80
18104,80
18111,80
18177,80
18436,80
18456,80
18146,120
18147,40
18164,80
18165,80
18427,80
18462,47
18169,80
18191,80
18199,5
18232,80
18238,80
18477,80
18243,150
18246,120
18262,254
18445,150.48
18467,150
18468,124
18273,90
18298,77
18300,80
18306,80
18314,100
18315,80
18318,80
18341,80
18342,80
18343,80
18344,80
18348,120
18364,80
18370,80
18450,80
19010,83
19014,80
19022,500
19024,80
19052,80
19055,80
19057,80
19075,80
19080,20
19093,80
19094,30
19096,40
19098,80
19116,20
19134,80
19140,80
19154,100
19158,80
19163,40
19177,50
19180,80
19189,30
19212,80
19217,80
19426,80
19240,80
19252,80
19266,80
19272,80
19277,40
19281,80
19448,80
19299,19.25
19303,100
19323,80
19324,80
19326,100
19330,80
19336,80
19340,80
19343,80
19351,50
19352,50
19360,150
19375,80
19376,80
19381,80
19424,80
19385,80
19395,20
19397,80
19401,120
19404,120
16010,80
16011,200
16015,80
16017,80
16022,80
16024,80
16029,173.05
16041,80
16042,20
16048,80
16053,80
16441,80
16445,80
16067,80
16083,80
16406,80
16109,80
16198,80
16123,80
16127,80
16150,80
16200,80
16201,80
16176,80
16181,80
16182,80
16183,80
16187,80
16205,80
16402,80
16414,80
16442,325
16219,80
16221,80
16228,80
16237,80
16255,80
16262,100
16268,80
16461,80
16294,80
16298,25
16302,80
16306,80
16463,80
16498,80
16318,80
16320,80
16327,80
16330,80
16331,80
16420,120
16336,80
16339,80
16344,80
16352,80
16356,80
16360,80
16366,100
16378,80
16381,80
17001,80
17006,80
17013,80
17030,80
17031,80
17042,80
17048,80
17059,80
17448,80
17408,80
17177,80
17086,80
17103,80
17108,80
17457,80
17110,95
17121,30
17122,80
17138,80
17144,80
17145,80
17147,80
17396,80
17165,80
17472,80
17206,80
17214,80
17222,80
17223,200
17225,80
17413,80
17379,80
17241,80
17243,80
17414,80
17255,85
17252,80
17270,80
17377,80
17278,50
17280,85
17281,150
17464,80
17462,20
17286,80
17400,80
17299,80
17415,80
17303,80
17311,80
17476,80
17315,80
17324,80
17353,80
17355,80
17418,80
17367,80
18009,120
18018,80
18021,80
18023,80
18026,80
18439,80
18065,80
18066,80
18077,80
18405,80
18078,100
18089,120
18093,80
18406,120
18476,120
18105,80
18106,80
18110,80
18125,80
18127,80
18145,80
18380,80
18381,80
18408,80
18451,80
18150,90
18163,535
18443,80
18205,80
18210,80
18213,80
18228,80
18231,80
18239,80
18245,100
18247,150
18249,95
18259,160
18261,150
18382,120
18278,80
18281,80
18296,80
18248,3
18299,35
18303,80
18310,65
18424,80
18332,80
18336,80
18339,80
18345,80
18347,80
18349,80
18359,80
18413,80
19002,80
19008,120
19039,36
19043,24
19047,80
19050,77
19405,40
19071,80
19074,80
19076,40
19089,80
19097,80
19104,20
19141,16
19142,200
19145,100
19416,300
19417,6
19429,80
19438,55
19163,70
19177,100
19179,80
19184,80
19209,80
19213,80
19216,80
19220,80
19229,80
19232,80
19236,80
19238,120
19458,80
19239,20
19245,80
19256,80
19259,40
19263,80
19267,20
19275,80
19284,90
19287,80
19290,80
19292,80
19295,18
19246,100
19314,20
19321,80
19329,100
19379,80
19436,80
19383,120
19387,120
19389,120
19392,80
19394,40
19396,80
19399,20
19403,120
19409,80
19423,250
19445,120
16009,80
16033,80
16047,80
16193,80
16413,53
16452,35
16087,80
16128,40
16155,80
16158,80
16229,80
16419,80
16425,80
16258,80
16263,80
16275,80
16433,80
16286,80
16289,75
16291,80
16295,85
16316,80
16317,80
16472,30
16346,100
16415,80
17407,80
17391,80
17014,80
17022,80
17433,80
17026,80
17032,80
17385,80
17043,250
17044,155
17459,82
17062,80
17173,80
17069,80
17073,80
17077,120
17378,80
17092,80
17105,80
17111,80
17129,25
17440,80
17159,80
17161,80
17192,80
17398,95
17208,120
17474,82
17213,80
17216,80
17238,80
17243,80
17268,80
17273,80
17283,80
17423,80
17301,80
17317,80
17321,20
17481,85
17484,15
17364,100
17366,10
18009,100
18022,100.15
18028,80
18078,20
18082,100
18084,80
18176,120
18137,80
18158,80
18430,80
18206,75
18444,130
18212,80
18214,80
18224,80
18400,80
18402,20
18472,80
18241,80
18243,70
18247,40
18248,80
18249,20
18250,80
18252,200
18253,250
18255,80
18260,80
18262,70
18414,120
18416,120
18445,50
18465,100
18467,50
18271,80
18275,40
18288,80
18312,100
18389,160
18353,80
18360,80
18374,80
19013,80
19456,80
19034,626
19037,422.5
19042,15
19044,12
19048,500
19050,600
19454,16
19078,80
19086,100
19091,100
19092,80
19095,80
19109,80
19428,100
19120,50
19124,18.5
19430,1000
19142,30
19145,30
19416,100.45
19438,25
19443,80
19185,80
19193,80
19203,80
19207,80
19194,80
19218,80
19222,150
19228,80
19231,80
19233,70
19237,80
19242,80
19246,80
19247,100
19273,80
19285,200
19289,80
19295,9
19297,80
19420,80
19299,34.5
19302,80
19309,80
19312,77
19311,80
19314,22
19316,80
19318,80
19319,80
19322,80
19328,80
19335,80
19339,69
19341,80
19350,100
19370,80
19373,80
19378,80
19447,80
19384,80
19393,40
19441,80
16007,80
16013,80
19018,80
16023,80
16032,80
16058,80
16062,80
16084,80
16090,81
16455,50
16113,80
16151,80
16436,85
16153,80
16407,80
16172,80
16180,80
16466,80
16473,40
16247,80
16265,80
16275,20
16280,40
16289,5
16296,80
16305,80
16314,80
16481,80
16324,80
16411,80
16359,45
16404,80
16371,80
17035,5
17038,80
17040,80
17050,100
17052,80
17054,80
17058,80
17172,80
17094,80
17098,30
17184,80
17162,80
17166,80
17189,80
17370,80
17239,80
17245,80
17262,80
17480,80
17292,80
17302,80
17390,80
17049,80
18001,80
18020,80
18471,80
18034,85
18035,80
18044,60
18441,120
18063,40
18068,33
18069,33
18070,35
18419,40
18082,20
18452,80
18097,80
18397,80
18417,90
18107,80
18119,80
18181,80
18423,50
18438,80
18129,80
18147,40
18155,80
18202,85
18392,80
18263,200
18264,80
18447,80
18291,80
18367,80
19035,80
19442,80
19065,80
19079,80
19090,25
19096,25
19444,45
19226,80
19225,80
19239,20
19267,24
19299,5
19301,60
19314,38
19336,12.5
19361,5
19408,8
19398,20
16348,80
16233,80
16422,85
16499,80
16387,80
16447,80
16065,80
16390,80
16128,5
16043,40
16245,80
17068,80
17151,80
,
17272,80
17409,80
17395,80
18030,80
18124,80
18455,80
18025,80
18063,40
18431,80
18180,80
18325,80
19147,80
19061,80
19219,80
19191,80
19437,20
19320,80
19085,25
19265,80
19434,20
17419,20
17419,10
17424,20
19230,20
16478,30
17129,25
19452,21
16311,80
19361,20
17478,20
16472,50
18108,200
19096,4
19312,3
16311,80
18473,5
17439,20
17176,20
19159,30
